,ID.org,Latitude,Longitude
131,DI453,40.58007779,-73.95358726
132,RR6957,40.79607903,-73.961596
133,RR2208,40.84701333,-73.88302789
134,RR4546,40.67293382,-73.75251685
135,A343,40.83035907,-73.94930713
136,RR8892,40.7204517,-73.95977119
137,DI117,40.509975,-74.230957
138,RR3640,40.80522275,-73.94603107
139,RR8795,40.827628,-73.896045
140,A602,40.73640317,-73.79228824
141,DI3304,40.807771,-73.955623
142,RR7593,40.76810956,-73.95695301
143,RR7794,40.63411821,-73.99559749
144,RR3403,40.70822209,-74.00809099
145,A1217,40.70169708,-73.88008633
146,A2278,40.64409087,-74.10184822
147,A1856,40.80848204,-73.95816686
148,N230,40.71904876,-74.00184361
149,DI308,40.638947,-74.103087
150,RR7220,40.8160241,-73.9184378
151,RR7661,40.75611074,-73.99737188
152,N136,40.76971471,-73.98255699
153,A1100,40.724608,-73.980332
154,A1743,40.72812359,-73.98481484
155,DI910,40.88145025,-73.86471352
156,RR8166,40.67191303,-73.77263107
157,124,40.82846913,-73.94535369
158,A2486,40.77022501,-73.95075562
159,DI373,40.801609,-73.937481
160,DI1687,40.70690125,-74.00429424
161,RR8637,40.67972771,-73.7782257
162,RR4456,40.62777533,-73.99472624
163,A2454,40.72893975,-74.00535133
164,DI3192,40.862391,-73.893972
165,DI1061,40.625188,-74.075916
166,A1492,40.71036176,-74.00901042
167,A694,40.780075,-73.984925
168,RR9328,40.76554638,-73.95216571
169,A1488,40.81079921,-73.96428284
170,DI3462,40.812927,-73.915681
171,C621,40.68977626,-73.97157843
172,DI479,40.604959,-73.994419
173,DI1678,40.85267527,-73.8430027
174,RR9450,40.67350208,-73.9074471
175,RR7790,40.640108,-73.904411
176,RR9399,40.80318425,-73.93817722
177,RR7022,40.69178093,-73.9909977
178,DI3828,40.674168,-73.945823
179,C1150,40.844984,-73.843255
180,RR8721,40.82241213,-73.8939786
181,DI1669,40.84137119,-73.86215661
182,RR8333,40.7259961,-73.99448804
183,A1023,40.63369752,-74.02329449
184,Y351,40.7377979,-73.99321557
185,RR8267,40.71914029,-74.00881849
186,DI2855,40.635525,-74.115494
187,A1119,40.72058745,-73.85779109
188,DI3088,40.602638,-74.171448
189,A2888,40.783792,-73.812287
190,RR9062,40.70775205,-74.00558544
191,DI3890,40.61265,-74.082974
192,RR2604,40.59021287,-73.96021892
193,RR2853,40.556256,-74.147361
194,DI2908,40.750713,-73.974079
195,DI3584,40.81758,-73.865056
196,C993,40.81459063,-73.90714132
197,RR7023,40.76099329,-73.72332421
198,RR6986,40.76482802,-73.91388691
199,DI3856,40.726655,-73.856758
200,RR2218,40.76225617,-73.97437247
201,N129,40.67182,-73.751834
202,A1595,40.58825153,-73.93526199
203,DI3705,40.823528,-73.919714
204,A822,40.72549055,-74.00927176
205,DI1203,40.568781,-74.112945
206,RR2682,40.67432116,-73.74872629
