id,x,y,id
261115692,-87.5735086,41.7498137,261115692
261115693,-87.5722956,41.7498286,261115693
261115694,-87.5710556,41.7498436,261115694
261115695,-87.5698633,41.7498581,261115695
261115696,-87.5686598,41.7498728,261115696
261115697,-87.5674173,41.7498879,261115697
261115698,-87.5662173,41.7499039,261115698
261115699,-87.5613585,41.7499764,261115699
261115700,-87.5601381,41.7499926,261115700
261115701,-87.5589267,41.7500087,261115701
261115702,-87.5577172,41.7500248,261115702
261115703,-87.5565061,41.750041,261115703
261115704,-87.5552865,41.7500572,261115704
261115705,-87.5540748,41.7500733,261115705
261115706,-87.5528643,41.7500894,261115706
261115707,-87.552229,41.7500978,261115707
261115710,-87.551485,41.7501077,261115710
261115711,-87.5504494,41.7501215,261115711
261115712,-87.5492237,41.7501378,261115712
261115713,-87.5480248,41.7501727,261115713
261115715,-87.5467976,41.7501701,261115715
261115716,-87.6244987,41.7491349,261115716
261115717,-87.6229483,41.7491585,261115717
261115718,-87.6213427,41.749183,261115718
261115719,-87.6197227,41.7492077,261115719
261115720,-87.6181,41.7492324,261115720
261115721,-87.6164932,41.7492569,261115721
261115722,-87.6149246,41.7492938,261115722
261115723,-87.6136643,41.7493215,261115723
261115724,-87.6124506,41.7493381,261115724
261115725,-87.6112434,41.7493601,261115725
261115726,-87.6100313,41.7493775,261115726
261115727,-87.6088221,41.7493994,261115727
261115728,-87.6075998,41.7494205,261115728
261115729,-87.606395,41.7494399,261115729
261115731,-87.6051874,41.7494542,261115731
261115732,-87.6039084,41.7494613,261115732
261115734,-87.6027034,41.7494671,261115734
261115735,-87.6014893,41.7494856,261115735
261115736,-87.6002864,41.749504,261115736
261115738,-87.5990755,41.7495224,261115738
261115740,-87.5978635,41.7495355,261115740
261115744,-87.5966646,41.7495295,261115744
261115745,-87.5954361,41.7495565,261115745
261115747,-87.594222,41.7495707,261115747
261115749,-87.5930058,41.7495882,261115749
261115750,-87.591794,41.7496029,261115750
261115752,-87.5905768,41.7496206,261115752
261115754,-87.5894354,41.7496266,261115754
261115756,-87.5882869,41.7496327,261115756
261115758,-87.5871522,41.7496485,261115758
261115760,-87.5861118,41.7496638,261115760
261115761,-87.5858195,41.7494196,261115761
261116220,-87.5527668,41.7446516,261116220
261116221,-87.5517466,41.7434701,261116221
261116222,-87.5516212,41.7429045,261116222
261116224,-87.5515154,41.7421119,261116224
261116225,-87.5515005,41.7410221,261116225
261116226,-87.5514738,41.7392104,261116226
261116259,-87.5522049,41.7492051,261116259
261116260,-87.552184,41.7482961,261116260
261116261,-87.552166,41.7473538,261116261
261116262,-87.5521569,41.7464659,261116262
261116263,-87.5521373,41.7455637,261116263
261116264,-87.5521479,41.7446572,261116264
261116270,-87.5516352,41.7519333,261116270
261116271,-87.5515178,41.7510184,261116271
261116416,-87.6398453,41.7543249,261116416
261116417,-87.6404703,41.7543129,261116417
261116418,-87.6416869,41.7542919,261116418
261116419,-87.6429074,41.7542747,261116419
261116420,-87.6441322,41.7542708,261116420
261116421,-87.6453411,41.7542572,261116421
261116422,-87.6465507,41.7542384,261116422
261116423,-87.6477522,41.754225,261116423
261116424,-87.6489715,41.7542104,261116424
261116425,-87.6501906,41.7541894,261116425
261116426,-87.6514149,41.7541777,261116426
261116427,-87.6526048,41.7541581,261116427
261116428,-87.6538212,41.7541302,261116428
261116445,-87.6262224,41.7545559,261116445
261116446,-87.6271145,41.7545405,261116446
261116447,-87.6279241,41.7545263,261116447
261116448,-87.6295976,41.7545098,261116448
261116449,-87.6311676,41.7544923,261116449
261116450,-87.6331196,41.7544445,261116450
261116451,-87.6343936,41.7544254,261116451
261116452,-87.635602,41.7544094,261116452
261116453,-87.6368224,41.7543924,261116453
261116454,-87.637723,41.7543837,261116454
261117515,-87.5623956,41.7390655,261117515
261117516,-87.5624171,41.740879,261117516
261117517,-87.5624472,41.7426993,261117517
261117518,-87.5624838,41.7445077,261117518
261117519,-87.5625148,41.7463346,261117519
261117521,-87.5626071,41.7517784,261117521
261117522,-87.5626379,41.7535925,261117522
261117523,-87.5626684,41.7553949,261117523
261117524,-87.5626993,41.757216,261117524
