,Hospitals,Federally Qualified Health Centers,School-Based Health Centers,All Free Health Clinics,Other Health Providers
17031835900,1945,1185,378,1957,903
17031836000,1119,530,1148,926,1119
17031836100,546,1273,1094,563,546
17031836200,520,782,1297,1406,1159
17031836300,880,794,492,1076,880
17031836400,2602,720,1755,1081,2259
17031836500,2508,1042,1581,1666,1602
17031836600,695,425,1160,1203,2521
17031836700,944,666,1276,1079,2932
17031836800,843,513,1066,1397,3149
17031836900,909,950,1684,741,2493
17031837000,1080,1004,1085,120,1845
17031837100,1524,1099,1627,700,2379
17031837300,767,759,1026,926,2107
17031837400,1225,897,842,598,1379
17031837800,1445,430,706,1224,1445
17031838000,762,682,211,1061,762
17031838100,482,1146,760,461,521
17031838200,425,553,848,1308,627
17031838300,1286,946,2841,2986,3600
17031838600,811,959,681,943,1975
17031838700,1618,373,1198,2382,1491
17031838800,5135,4818,6519,11443,9838
17031839000,2423,2238,1591,1312,1642
17031839100,1689,1486,2430,1966,2481
17031839200,591,591,446,2762,724
17031839500,1340,347,678,2585,525
17031839600,1853,700,340,2209,470
17031839700,2974,1762,2157,3118,2025
17031839800,2263,1349,2006,2671,1586
17031839900,3154,1731,2038,2832,1986
17031840000,2214,1293,1878,2706,1291
17031840100,1418,1418,1434,1803,1055
17031840200,1804,1804,1582,1935,1203
17031840300,2775,525,1783,3289,3332
17031840400,3074,691,1796,2618,2555
17031840700,597,341,1144,2427,2188
17031840800,1768,322,1871,3364,1564
17031841000,518,518,407,2416,955
17031841100,1333,1333,556,1263,177
17031841200,1099,666,552,2659,1978
17031841300,1902,689,1470,3523,2856
17031841400,1184,661,1084,2577,1122
17031841500,922,963,486,1770,1895
17031841600,648,841,700,2193,1516
17031841700,593,786,725,2218,1730
17031841800,1443,1548,357,3238,1914
17031841900,1788,1598,1699,718,1672
17031842000,1169,288,903,2930,584
17031842100,1181,1549,686,2569,3311
17031842200,2162,549,2536,2783,3397
17031842300,1876,1136,2037,2552,3166
17031842400,3276,2348,1770,3596,4843
17031842500,1056,1394,2066,1394,2206
17031842600,3409,985,2071,1823,2759
17031842800,3425,560,1459,2442,4669
17031842900,776,493,585,1856,1205
17031843000,1451,774,1686,2097,1876
17031843100,591,755,178,1583,2115
17031843200,2169,1155,882,2681,2445
17031843300,397,204,879,1709,1588
17031843400,2265,743,1358,3649,680
17031843500,1862,1003,1865,3692,2477
17031843600,682,404,474,1050,682
17031843700,1724,1685,2149,3956,2369
17031843800,1682,808,1456,1552,1682
17031843900,562,1024,2471,3866,1603
17031980000,7480,9106,13191,13812,14827
17031980100,5872,2174,5125,5192,6283
