,BLOCKID10,POP10,CE01_2014,long,lat
54169,170318104003041,13,1,-87.8269093,41.983524100000004
54183,170311801005010,49,3,-87.803781,41.9319152
54184,170318316005018,0,-1,-87.7958556,41.9238422
54185,170311708001015,47,5,-87.80895459999999,41.9406356
54193,170318388002063,0,-1,-87.5460265,41.6718965
54194,170315203004009,114,13,-87.54285240000002,41.700036700000005
54195,170318388002120,0,-1,-87.5609161,41.6819641
54196,170314610001030,0,-1,-87.5462847,41.728576200000006
54197,170318339002010,62,1,-87.54741829999999,41.73103
54198,170318339001006,49,1,-87.54401490000001,41.7329081
54199,170318339002025,13,2,-87.549185,41.7303471
54200,170314112001007,201,21,-87.5920518,41.7938963
54201,170314110003005,0,-1,-87.58793709999999,41.7924626
54217,170318316004015,35,1,-87.8052828,41.9234884
54219,170311708003005,78,4,-87.81483879999999,41.942336100000006
54224,170311003002001,436,119,-87.8101819,41.9889841
54231,170313906002008,21,1,-87.59322829999999,41.803081899999995
54232,170313903002007,0,-1,-87.604192,41.8122929
54233,170318360003015,127,8,-87.6090912,41.8125505
54234,170314110001008,0,-1,-87.5788377,41.790750700000004
54235,170314109003005,0,-1,-87.5801838,41.79745689999999
54236,170313907001001,0,-1,-87.5877722,41.809318
54237,170313907003002,0,-1,-87.5809031,41.803304100000005
54238,170314301021002,549,64,-87.5673738,41.768983299999995
54239,170314307001003,188,77,-87.56347209999998,41.7658744
54240,170314301011004,55,31,-87.5748311,41.768902000000004
54241,170314110003008,0,-1,-87.5846839,41.7922855
54242,170318371001017,16,5,-87.705087,41.8831111
54243,170318371001015,0,-1,-87.7051117,41.883967600000005
54244,170312315003012,1,-1,-87.7168032,41.888943100000006
54245,170312315003013,14,3,-87.7170567,41.8893558
54246,170312315003005,32,4,-87.7183037,41.890842
54247,170312602001000,0,-1,-87.7284083,41.8878485
54248,170312512002013,11,9,-87.75743670000001,41.8951524
54249,170312511003009,40,3,-87.7534964,41.8961127
54258,170317708002035,0,-1,-87.88218570000001,41.9579516
54292,170313301002014,0,-1,-87.6222885,41.856713
54293,170313301004080,0,-1,-87.6173097,41.8520859
54294,170318391001071,0,-1,-87.6345547,41.8816085
54295,170312819002000,1558,121,-87.641897,41.881559700000004
54296,170312801001038,347,16,-87.6468783,41.882499200000005
54297,170318331003031,0,-1,-87.66312309999999,41.878324299999996
54298,170318410001055,0,-1,-87.623621,41.84646179999999
54299,170318420001005,78,1,-87.6215727,41.8374575
54300,170318420002014,243,50,-87.622943,41.8337972
54301,170313514001013,0,-1,-87.62615219999999,41.8280492
54317,170310902001001,6,2,-87.8081812,42.011452399999996
54318,170310902001009,45,16,-87.80816829999999,42.0105453
54319,170310902001016,37,14,-87.8079116,42.008293
54320,170310902001026,45,4,-87.8079079,42.006931
54321,170311001003003,47,7,-87.7813098,41.9856348
54322,170311102002001,101,9,-87.7744075,41.982048799999994
54323,170311104001005,0,-1,-87.7669387,41.9739053
54324,170311105022015,0,-1,-87.76404240000001,41.9721294
54340,170311911002014,0,-1,-87.7490047,41.9149683
54341,170311911003009,10,0,-87.750387,41.9171225
54342,170311911003010,37,4,-87.7515533,41.9170916
54343,170311911002011,114,7,-87.7483412,41.9157568
54345,170311503005002,14,1,-87.7668589,41.9591015
54347,170312505003005,47,7,-87.7982094,41.9117065
54348,170312504005024,10,2,-87.7794939,41.9094549
54350,170312504004001,122,9,-87.77622149999999,41.9119818
54351,170311913012004,102,10,-87.7764702,41.9190672
54352,170318315001026,92,12,-87.78671340000001,41.9337424
54353,170318315001025,98,9,-87.78729820000001,41.93372
54354,170311906013023,50,2,-87.7763249,41.9240412
54355,170311801004008,52,31,-87.79713609999999,41.9354102
54356,170311801002013,55,30,-87.7933585,41.932044700000006
54357,170311007003009,139,18,-87.796707,41.971733
54358,170311504013009,55,4,-87.77596209999999,41.965614
54359,170311505013005,102,12,-87.7804689,41.9634106
54391,170311503002006,12,2,-87.75956540000001,41.961702100000004
54392,170311503004004,65,5,-87.7584686,41.956245700000004
54393,170311503005007,15,0,-87.7668695,41.958207200000004
54394,170311503004019,40,4,-87.75837920000001,41.9535108
54395,170311511001002,92,6,-87.76057929999999,41.945266600000004
54396,170311904021020,67,6,-87.7685816,41.937394
54397,170311904021029,75,9,-87.7697501,41.9357971
54403,170310901001028,16,2,-87.8074926,42.0175753
54404,170311101002004,71,11,-87.77287940000001,41.9838404
54405,170311101004018,67,6,-87.77510459999999,41.9870204
54406,170311101001030,111,10,-87.7680622,41.982037299999995
54407,170311105011005,51,9,-87.76279749999999,41.978280299999994
54411,170311710003014,42,1,-87.794815,41.9393036
54412,170311702001004,57,11,-87.7779781,41.9523295
54413,170311006002010,43,6,-87.79723309999999,41.9778727
54415,170310902004030,81,6,-87.8201416,42.004253600000006
54416,170311006004056,25,1,-87.7970426,41.9792162
54422,170311912001004,45,4,-87.760412,41.9229074
54423,170311907023014,6,0,-87.7653858,41.924217
54424,170312503001009,47,27,-87.7591677,41.9147746
54426,170311103002026,0,-1,-87.78644720000001,41.975754200000004
54427,170311504012003,67,5,-87.7710266,41.964307899999994
54428,170311103003004,51,13,-87.7819769,41.9765649
54429,170311103002023,29,3,-87.78597740000001,41.9759713
54430,170311512003014,72,5,-87.775153,41.942355400000004
54431,170311711002022,16,0,-87.77986640000002,41.9386268
54432,170311711002011,74,3,-87.7775055,41.940488200000004
54450,170311105022003,72,6,-87.75892270000001,41.972700399999994
54451,170311001002027,23,0,-87.7809767,41.9905212
54477,170311002005004,0,-1,-87.8026216,41.9972833
54478,170311002007015,30,4,-87.7975848,41.9952521
54479,170310902002009,46,7,-87.80886109999999,42.003496000000005
54480,170310902002022,40,3,-87.8113025,42.0034158
54481,170311103001022,61,4,-87.7862689,41.980180700000005
54482,170311103002002,53,3,-87.78058,41.9783864
54483,170311002004005,51,2,-87.7950794,41.991868200000006
54484,170311002004002,32,4,-87.7967483,41.9927584
54603,170312507005013,146,6,-87.7630194,41.9066939
54604,170312503002013,51,4,-87.76114,41.9096685
54605,170311504023020,51,6,-87.7708458,41.9588323
54606,170311503007007,35,3,-87.7646752,41.9668863
54607,170311503007005,23,-1,-87.763468,41.9668639
54608,170311503005015,0,-1,-87.76459859999999,41.9550375
54609,170311507004007,104,14,-87.7632464,41.9516725
54612,170311002007008,34,2,-87.79639399999999,41.9982825
54613,170311002002006,65,42,-87.7929459,41.996413000000004
54614,170311201003013,4,0,-87.7669773,41.9976984
54615,170311201004017,34,3,-87.78173290000001,42.006808299999996
54619,170311101002005,68,7,-87.7728237,41.9857509
54620,170311105011002,18,2,-87.76422020000001,41.9791428
54621,170311105022023,72,7,-87.75394200000001,41.971374600000004
54622,170311105022002,55,2,-87.756434,41.9727175
54652,170310902001015,42,17,-87.810041,42.008223799999996
54653,170311002007001,59,6,-87.79659570000001,41.9996007
54654,170311002001009,72,11,-87.7935376,41.999825200000004
54655,170310902001003,34,2,-87.8112517,42.0106875
54656,170311002003009,79,5,-87.78895820000001,41.9912954
