,Other Health Providers,Federally Qualified Health Centers,All Free Health Clinics,Hospitals,School-Based Health Centers
170310105022004,1.0,5.0,0.0,1.0,1.0
170310105022005,1.0,5.0,0.0,1.0,2.0
170310105022006,1.0,5.0,0.0,1.0,2.0
170310105022007,1.0,4.0,0.0,1.0,2.0
170310105022008,1.0,4.0,0.0,1.0,1.0
170310105022009,1.0,4.0,0.0,1.0,1.0
170310105022010,1.0,3.0,0.0,1.0,2.0
170310105031000,1.0,2.0,0.0,1.0,2.0
170310105031001,1.0,2.0,0.0,1.0,2.0
170310105031002,1.0,2.0,0.0,1.0,2.0
170310105031003,1.0,2.0,0.0,1.0,2.0
170310105031004,1.0,2.0,0.0,1.0,2.0
170310105031005,1.0,2.0,0.0,1.0,2.0
170310105031006,1.0,2.0,0.0,1.0,2.0
170310105031007,1.0,2.0,0.0,1.0,2.0
170310105031008,1.0,2.0,0.0,1.0,2.0
170310105031009,1.0,2.0,0.0,1.0,2.0
170310105031010,1.0,2.0,0.0,1.0,2.0
170310105031011,1.0,2.0,0.0,1.0,2.0
170310105031012,1.0,2.0,0.0,1.0,2.0
170310105031013,1.0,2.0,0.0,1.0,2.0
170310105031014,1.0,2.0,0.0,1.0,2.0
170310105031015,1.0,2.0,0.0,1.0,2.0
170310105031016,1.0,2.0,0.0,1.0,2.0
170310105032000,1.0,3.0,0.0,1.0,2.0
170310105032001,1.0,3.0,0.0,1.0,2.0
170310105032002,1.0,3.0,0.0,1.0,2.0
170310105032003,1.0,3.0,0.0,1.0,2.0
170310105032004,1.0,3.0,0.0,1.0,2.0
170310105032005,1.0,3.0,0.0,1.0,2.0
170310105032006,1.0,3.0,0.0,1.0,2.0
170310105032007,1.0,2.0,0.0,1.0,2.0
170310105032008,1.0,2.0,0.0,1.0,2.0
170310105032009,1.0,3.0,0.0,1.0,2.0
170310105032010,1.0,2.0,0.0,1.0,2.0
170310105032011,1.0,2.0,0.0,1.0,2.0
170310105032012,1.0,3.0,0.0,1.0,2.0
170310106001000,1.0,5.0,0.0,1.0,2.0
170310106001001,1.0,5.0,0.0,1.0,2.0
170310106001002,1.0,5.0,0.0,1.0,2.0
170310106001003,1.0,5.0,0.0,1.0,2.0
170310106001004,1.0,5.0,0.0,1.0,2.0
170310106001005,1.0,5.0,0.0,1.0,1.0
170310106001006,1.0,5.0,0.0,0.0,1.0
170310106001007,1.0,5.0,0.0,0.0,1.0
170310106001008,1.0,5.0,0.0,1.0,2.0
170310106001009,1.0,5.0,0.0,1.0,2.0
170310106001010,1.0,5.0,0.0,1.0,2.0
170310106001011,1.0,5.0,0.0,1.0,2.0
170310106001012,1.0,5.0,0.0,1.0,2.0
170310106001013,1.0,5.0,0.0,1.0,2.0
170310106001014,1.0,5.0,0.0,1.0,2.0
170310106001015,1.0,5.0,0.0,1.0,2.0
170310106001016,1.0,5.0,0.0,1.0,2.0
170310106001017,1.0,5.0,0.0,0.0,2.0
170310106001018,1.0,5.0,0.0,1.0,2.0
170310106001019,1.0,5.0,0.0,1.0,2.0
170310106001020,1.0,5.0,0.0,1.0,2.0
170310106001021,1.0,5.0,0.0,1.0,2.0
170310106001022,1.0,5.0,0.0,1.0,2.0
170310106002000,1.0,5.0,0.0,0.0,1.0
170310106002001,1.0,5.0,0.0,0.0,1.0
170310106002002,1.0,5.0,0.0,0.0,1.0
170310106002003,1.0,5.0,0.0,0.0,1.0
170310106002004,1.0,5.0,0.0,0.0,1.0
170310106002005,1.0,5.0,0.0,0.0,1.0
170310106002006,1.0,5.0,0.0,0.0,1.0
170310106002007,1.0,5.0,0.0,0.0,1.0
170310106002008,1.0,5.0,0.0,0.0,1.0
170310106003000,1.0,4.0,0.0,1.0,2.0
170310106003001,1.0,5.0,0.0,1.0,2.0
170310106003002,1.0,5.0,0.0,0.0,2.0
170310106003003,1.0,5.0,0.0,0.0,2.0
170310106003004,1.0,4.0,0.0,1.0,2.0
170310106003005,1.0,3.0,0.0,1.0,2.0
170310106003006,1.0,3.0,0.0,1.0,2.0
170310106003007,1.0,3.0,0.0,1.0,2.0
170310106003008,1.0,2.0,0.0,1.0,2.0
170310106003009,1.0,2.0,0.0,1.0,2.0
